x,y,z,yaw,velocity,change_flag
-50.9052,209.1727,-1.5980,1.5851,5.0,0
-50.9069,209.6816,-1.6099,1.5848,5.0,0
-50.9366,210.2518,-1.6159,1.5831,5.0,0
-50.9476,210.8584,-1.6185,1.5793,5.0,0
-50.9736,211.4321,-1.6308,1.5766,5.0,0
-50.9833,212.0950,-1.6208,1.5720,5.0,0
-51.0053,212.6381,-1.6291,1.5696,5.0,0
-51.0046,213.2052,-1.6308,1.5668,5.0,0
-51.0284,213.8092,-1.6453,1.5648,5.0,0
-51.0192,214.4061,-1.6363,1.5636,5.0,0
-51.0312,215.0233,-1.6289,1.5626,5.0,0
-51.0489,215.6353,-1.6328,1.5609,5.0,0
-51.0580,216.2675,-1.6214,1.5592,5.0,0
-51.0612,216.8974,-1.6235,1.5579,5.0,0
-51.0680,217.5266,-1.6233,1.5563,5.0,0
-51.0922,218.1468,-1.6166,1.5549,5.0,0
-51.0821,218.8087,-1.6163,1.5531,5.0,0
-51.1002,219.4128,-1.6153,1.5520,5.0,0
-51.1017,220.0477,-1.5965,1.5506,5.0,0
-51.0938,220.6718,-1.5941,1.5493,5.0,0
-51.0958,221.2896,-1.5803,1.5486,5.0,0
-51.0954,221.8833,-1.5713,1.5534,5.0,0
-51.1136,222.4920,-1.5629,1.5604,5.0,0
-51.1295,223.1243,-1.5623,1.5670,5.0,0
-51.1257,223.7308,-1.5424,1.5728,5.0,0
-51.1510,224.3402,-1.5325,1.5780,5.0,0
-51.1691,224.9405,-1.5465,1.5833,5.0,0
-51.1946,225.5442,-1.5240,1.5895,5.0,0
-51.2221,226.1138,-1.5189,1.6036,5.0,0
-51.2730,226.7307,-1.5074,1.6457,5.0,0
-51.3845,227.3162,-1.4871,1.7071,5.0,0
-51.4967,227.8450,-1.4782,1.7841,5.0,0
-51.6405,228.3521,-1.4557,1.8780,5.0,0
-51.9104,228.9311,-1.4417,2.0277,5.0,0
-52.1313,229.3849,-1.3997,2.1499,5.0,0
-52.2769,229.8853,-1.3805,2.2762,5.0,0
-52.5932,230.3980,-1.3542,2.4373,5.0,0
-53.0742,230.7206,-1.3090,2.5879,5.0,0
-53.6025,230.9469,-1.2713,2.7283,5.0,0
-54.1849,231.1400,-1.2189,2.8704,5.0,0
-54.7931,231.2679,-1.1949,3.0187,5.0,0
-55.4205,231.2785,-1.1708,-3.1122,5.0,0
-56.0821,231.2109,-1.1516,-2.9558,5.0,0
-56.5737,231.0964,-1.1348,-2.8320,5.0,0
-57.0435,230.8934,-1.1324,-2.7067,5.0,0
-57.5427,230.6258,-1.1307,-2.5790,5.0,0
-57.9906,230.3175,-1.1391,-2.4508,5.0,0
-58.4323,229.8840,-1.1462,-2.3226,5.0,0
-58.8832,229.3240,-1.1592,-2.1607,5.0,0
-59.1866,228.8297,-1.1767,-2.0462,5.0,0
-59.4233,228.2184,-1.1983,-1.9413,5.0,0
-59.7037,227.6454,-1.2296,-1.8570,5.0,0
-59.8875,226.9948,-1.2275,-1.8080,5.0,0
-60.0258,226.3545,-1.2546,-1.7692,5.0,0
-60.1598,225.6914,-1.2669,-1.7423,5.0,0
-60.2305,225.0271,-1.2792,-1.7182,5.0,0
-60.3015,224.3868,-1.2796,-1.6954,5.0,0
-60.3875,223.7469,-1.2827,-1.6747,5.0,0
-60.4213,223.0391,-1.2958,-1.6558,5.0,0
-60.4534,222.3954,-1.2983,-1.6376,5.0,0
